start 1000 sorting	0	0	0	0	16	0	0	0	0	0	
start 2000 sorting	0	16	0	16	15	0	16	0	15	16	
start 3000 sorting	16	31	15	16	31	16	15	32	15	16	
start 4000 sorting	32	31	47	31	47	31	31	47	31	47	
start 5000 sorting	47	62	62	63	47	62	62	63	47	62	
start 6000 sorting	94	78	93	78	94	78	78	93	78	94	
start 7000 sorting	125	109	109	125	109	125	109	125	109	125	
start 8000 sorting	140	172	156	156	169	155	167	151	156	156	
start 9000 sorting	218	188	187	203	187	187	187	203	187	187	
start 10000 sorting	250	234	234	234	250	234	234	234	234	234	
start 11000 sorting	281	281	310	314	312	297	296	296	297	296	
start 12000 sorting	375	358	359	377	359	359	374	343	359	359	
start 13000 sorting	401	405	406	405	390	406	429	441	436	459	
start 14000 sorting	498	508	477	501	468	468	484	452	468	468	
start 15000 sorting	562	546	546	530	546	562	546	546	547	546	
start 16000 sorting	624	624	624	609	639	609	624	624	608	624	
start 17000 sorting	702	718	702	702	702	717	687	686	670	702	
start 18000 sorting	780	781	780	780	764	764	765	795	780	796	
start 19000 sorting	873	889	874	889	874	889	889	889	874	874	
start 20000 sorting	967	968	967	967	983	967	967	967	983	983	
start 21000 sorting	1061	1061	1078	1076	1093	1046	1045	1045	1070	6926	
start 22000 sorting	1170	1154	1221	1203	1171	1170	1170	1170	1185	1139	
start 23000 sorting	1263	1264	1264	1248	1279	1279	1295	1295	1279	1295	
start 24000 sorting	1404	1435	1388	1389	1404	1419	1404	1389	1404	1372	
start 25000 sorting	1529	1497	1498	1513	1513	1498	1529	1513	1513	1498	
start 26000 sorting	1638	1653	1638	1654	1638	1654	1606	1657	1635	1669	
start 27000 sorting	1747	1734	1768	1779	1763	1762	1778	1779	1763	1778	
start 28000 sorting	1903	1919	1888	1856	1872	1857	1872	1895	2075	2093	
start 29000 sorting	2153	2185	2106	2121	2044	2090	2092	2060	2043	2091	
start 30000 sorting	2184	2215	2216	2246	2246	2231	2247	2168	2184	2200	
start 31000 sorting	2355	2325	2324	2340	2340	2324	2372	2340	2340	2308	
start 32000 sorting	2434	2434	2433	2449	2450	2433	2434	2433	2434	2434	
start 33000 sorting	2605	2574	2590	2589	2643	2606	2636	2652	2636	2652	
start 34000 sorting	2824	2777	2808	2761	2761	2824	2870	2839	2855	2808	
start 35000 sorting	2979	2949	2995	3042	3027	2933	2917	2918	2932	3073	
start 36000 sorting	3356	3120	3151	3152	3136	3167	3167	3167	3167	3120	
start 37000 sorting	3276	3354	3339	3354	3354	3338	3338	3354	3385	3339	
start 38000 sorting	3543	3541	3510	3541	3541	3573	3525	3573	3510	3556	
start 39000 sorting	3791	3791	3728	3713	3729	3712	3744	3658	3645	3603	
start 40000 sorting	3807	3791	3790	3869	3884	3822	3869	3900	3947	3932	
start 41000 sorting	4056	4118	4134	4072	4040	4134	4118	4072	4150	4118	
start 42000 sorting	4321	4352	4306	4337	4274	4274	4322	4321	4307	4306	
start 43000 sorting	4538	4524	4570	4548	4368	4446	4493	4462	4493	4493	
start 44000 sorting	4774	4696	4712	4758	4648	4727	4680	4850	4990	4902	
start 45000 sorting	4836	4898	4930	4930	4898	5039	4898	4836	4899	4945	
start 46000 sorting	5164	5132	5008	5205	5208	5133	5132	5179	5133	5179	
start 47000 sorting	5335	5413	5335	5351	5398	5350	5320	5320	5382	5382	
start 48000 sorting	5538	5632	5631	5601	5523	5553	5633	5585	5569	5585	
start 49000 sorting	5835	5883	5865	5741	5881	5834	5882	5819	5850	5834	
start 50000 sorting	6084	6100	6084	6162	6101	6384	6414	6143	10615	6144	
